Report Number,Report DateTime,Offense Parent Group,Offense,Offense Code,MCPP,Longitude,Latitude,Year,Month,Day,Hour,Minute,Location,Zipcode
2020-333179,12/01/2020 06:35:48 PM,ASSAULT OFFENSES,Intimidation,13C,MONTLAKE/PORTAGE BAY,-122.301565376,47.63524418,2020.0,12.0,1.0,18.0,10.0,"1764, Boyer Avenue East, Montlake, Washington Park, Seattle, King County, Washington, 98112, United States",98112
2020-332995,12/01/2020 04:17:14 PM,ASSAULT OFFENSES,Simple Assault,13B,ROOSEVELT/RAVENNA,-122.344497643,47.68586124,2020.0,12.0,1.0,15.0,0.0,"Schmetzer's Sporthaus, 7806, Aurora Avenue North, Greenwood, Seattle, King County, Washington, 98103, United States",98103
2020-332995,12/01/2020 04:17:14 PM,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,ROOSEVELT/RAVENNA,-122.344497643,47.68586124,2020.0,12.0,1.0,15.0,0.0,"Schmetzer's Sporthaus, 7806, Aurora Avenue North, Greenwood, Seattle, King County, Washington, 98103, United States",98103
2020-333012,12/01/2020 03:46:06 PM,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,-122.338484568,47.61853427,2020.0,12.0,1.0,15.0,0.0,"Westlake & Denny, Westlake Avenue, South Lake Union, Belltown, Seattle, King County, Washington, 98109-5210, United States",98109-5210
2020-332886,12/01/2020 01:34:57 PM,ASSAULT OFFENSES,Simple Assault,13B,MILLER PARK,-122.312636529,47.62259527,2020.0,12.0,1.0,12.0,45.0,"416, 15th Avenue East, Capitol Hill, Seattle, King County, Washington, 98112, United States",98112
2020-332600,12/01/2020 08:31:12 AM,LARCENY-THEFT,Theft From Motor Vehicle,23F,LAKECITY,-122.292945954,47.72829075,2020.0,12.0,1.0,7.0,0.0,"3200, Northeast 137th Street, Kenwood, Lake City, Seattle, King County, Washington, 98125, United States",98125
2020-332613,12/01/2020 08:09:35 AM,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,FIRST HILL,-122.32344394,47.60412808,2020.0,12.0,1.0,7.0,26.0,"Harborview Medical Center, 325, 9th Avenue, Little Saigon, Yesler Terrace, Seattle, King County, Washington, 98104, United States",98104
2020-332559,12/01/2020 05:53:21 AM,ROBBERY,Robbery,120,MID BEACON HILL,-122.288095737,47.55123027,2020.0,12.0,1.0,5.0,0.0,"ampm, South Orcas Street, Brighton, Rainier Valley, Seattle, King County, Washington, 98118, United States",98118
2020-332511,12/01/2020 04:26:46 AM,ASSAULT OFFENSES,Simple Assault,13B,QUEEN ANNE,-122.376154128,47.63965592,2020.0,12.0,1.0,2.0,50.0,"2233, 15th Avenue West, Interbay, Queen Anne, Seattle, King County, Washington, 98119, United States",98119
2020-332477,12/01/2020 01:40:12 AM,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,CENTRAL AREA/SQUIRE PARK,-122.310248796,47.60622905,2020.0,12.0,1.0,1.0,11.0,"Swedish Medical Center Cherry Hill Campus, 500, 17th Avenue, Little Saigon, Central District, Seattle, King County, Washington, 98122, United States",98122
2020-334229,12/02/2020 11:28:32 PM,ASSAULT OFFENSES,Aggravated Assault,13A,FIRST HILL,-122.324195215,47.60578655,2020.0,12.0,2.0,21.0,19.0,"Harborview Medical Center, 325, 9th Avenue, Little Saigon, Yesler Terrace, Seattle, King County, Washington, 98104, United States",98104
2020-334139,12/02/2020 07:56:21 PM,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,BALLARD SOUTH,-122.384742516,47.6709122,2020.0,12.0,2.0,19.0,0.0,"Ballard, Seattle, King County, Washington, United States",
2020-334092,12/02/2020 06:33:51 PM,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,CAPITOL HILL,-122.313130839,47.62310234,2020.0,12.0,2.0,17.0,45.0,"Astor Court, 1450, East Republican Street, Capitol Hill, Seattle, King County, Washington, 98112, United States",98112
2020-334107,12/02/2020 06:20:44 PM,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,BALLARD SOUTH,-122.370767448,47.66292856,2020.0,12.0,2.0,18.0,11.0,"951, Northwest Ballard Way, Phinney Ridge, Seattle, King County, Washington, 98107, United States",98107
2020-334015,12/02/2020 05:51:58 PM,ASSAULT OFFENSES,Intimidation,13C,ALKI,-122.386796464,47.59514819,2020.0,12.0,2.0,15.0,37.0,"Duwamish Head, Harbor Avenue Southwest, Seattle, King County, Washington, 98116, United States",98116
2020-334011,12/02/2020 04:37:17 PM,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,CENTRAL AREA/SQUIRE PARK,-122.312756595,47.61704124,2020.0,12.0,1.0,17.0,0.0,"1700, 15th Avenue, Capitol Hill, Seattle, King County, Washington, 98122, United States",98122
2020-334011,12/02/2020 04:37:17 PM,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,CENTRAL AREA/SQUIRE PARK,-122.312756595,47.61704124,2020.0,12.0,1.0,17.0,0.0,"1700, 15th Avenue, Capitol Hill, Seattle, King County, Washington, 98122, United States",98122
2020-333900,12/02/2020 03:01:57 PM,LARCENY-THEFT,Theft From Motor Vehicle,23F,CHINATOWN/INTERNATIONAL DISTRICT,-122.323753757,47.59834984,2020.0,12.0,2.0,13.0,35.0,"679, South King Street, Little Saigon, International District/Chinatown, Seattle, King County, Washington, 98104, United States",98104
2020-333855,12/02/2020 01:58:57 PM,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,UNIVERSITY,-122.321893977,47.65505461,2020.0,12.0,2.0,12.0,56.0,"3919, Pasadena Place Northeast, University District, Seattle, King County, Washington, 98105, United States",98105
2020-333674,12/02/2020 10:45:00 AM,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SODO,-122.327325474,47.5923966,2020.0,12.0,2.0,9.0,27.0,"Stadium, 501, South Royal Brougham Way, International District/Chinatown, Seattle, King County, Washington, 98134, United States",98134
2020-336618,12/02/2020 10:01:45 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,MONTLAKE/PORTAGE BAY,-122.319532093,47.64135492,2020.0,12.0,2.0,4.0,30.0,"1005, East Miller Street, Seattle, King County, Washington, 98102, United States",98102
2020-333649,12/02/2020 09:53:02 AM,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,-122.330439526,47.6236993,2020.0,12.0,2.0,8.0,5.0,"516, Yale Avenue North, South Lake Union, First Hill, Seattle, King County, Washington, 98109, United States",98109
2020-333664,12/02/2020 09:49:29 AM,ASSAULT OFFENSES,Intimidation,13C,BALLARD SOUTH,-122.378881481,47.67236312,2020.0,12.0,1.0,12.0,0.0,"Ballard, Seattle, King County, Washington, United States",
2020-333559,12/02/2020 09:01:31 AM,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,LAKECITY,-122.286308761,47.7200738,2020.0,12.0,2.0,8.0,0.0,"12532, 39th Avenue Northeast, Cedar Park, Lake City, Seattle, King County, Washington, 98125, United States",98125
2020-333613,12/02/2020 08:51:49 AM,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,MONTLAKE/PORTAGE BAY,-122.301937237,47.6391218,2020.0,12.0,2.0,6.0,0.0,"2200, 24th Avenue East, Montlake, Washington Park, Seattle, King County, Washington, 98112, United States",98112
2020-333511,12/02/2020 07:44:34 AM,ASSAULT OFFENSES,Simple Assault,13B,MAGNOLIA,-122.400897858,47.65496124,2020.0,12.0,2.0,6.0,1.0,"Metropolitan Market, 34th Avenue West, Lawton Park, Magnolia, Seattle, King County, Washington, 98199, United States",98199
2020-333481,12/02/2020 06:24:48 AM,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,MAGNOLIA,-122.404210979,47.6659143,2020.0,12.0,2.0,4.0,28.0,"3610, West Commodore Way, Lawton Park, Seaview, Seattle, King County, Washington, 98199, United States",98199
2020-333494,12/02/2020 06:12:53 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,PIONEER SQUARE,-122.332884014,47.5987463,2020.0,12.0,2.0,4.0,50.0,"Taylor Shellfish Oyster Bar, 410, Occidental Avenue South, International District/Chinatown, Seattle, King County, Washington, 98104, United States",98104
2020-333498,12/02/2020 06:11:42 AM,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,JUDKINS PARK/NORTH BEACON HILL,-122.306229311,47.59378185,2020.0,12.0,2.0,4.0,55.0,"2001, South Ingersoll Place, Central District, Seattle, King County, Washington, 98144, United States",98144
2020-333437,12/02/2020 04:11:46 AM,ASSAULT OFFENSES,Simple Assault,13B,PIONEER SQUARE,-122.33112414,47.60171758,2020.0,12.0,2.0,2.0,43.0,"Yesler Way & 2nd Avenue South, Yesler Way, West Edge, International District/Chinatown, Seattle, King County, Washington, 98104, United States",98104
2020-333418,12/02/2020 02:31:07 AM,ASSAULT OFFENSES,Simple Assault,13B,HIGH POINT,-122.366323821,47.53370529,2020.0,12.0,2.0,1.0,45.0,"2600, Southwest Holden Street, High Point, Seattle, King County, Washington, 98126, United States",98126
2020-333384,12/02/2020 02:04:59 AM,ASSAULT OFFENSES,Intimidation,13C,ALASKA JUNCTION,-122.38545658,47.56197325,2020.0,12.0,1.0,23.0,40.0,"4520, 42nd Avenue Southwest, West Seattle, Seattle, King County, Washington, 98116, United States",98116
2020-333402,12/02/2020 01:35:49 AM,ASSAULT OFFENSES,Simple Assault,13B,NORTH BEACON HILL,-122.317278141,47.58921229,2020.0,12.0,2.0,0.0,44.0,"1527, 12th Avenue South, International District/Chinatown, Seattle, King County, Washington, 98144, United States",98144
2020-333339,12/02/2020 12:24:35 AM,LARCENY-THEFT,All Other Larceny,23H,CLAREMONT/RAINIER VISTA,-122.290964247,47.56653704,2020.0,12.0,1.0,22.0,21.0,"4058, 34th Avenue South, Columbia City, Rainier Vista, Seattle, King County, Washington, 98118, United States",98118
2020-333369,12/02/2020 12:12:52 AM,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,MADRONA/LESCHI,-122.302233456,47.5992813,2020.0,12.0,1.0,23.0,26.0,"Verse Seattle B, 2201, South Jackson Street, Little Saigon, Central District, Seattle, King County, Washington, 98144, United States",98144
2020-333337,12/02/2020 12:02:41 AM,ASSAULT OFFENSES,Simple Assault,13B,CAPITOL HILL,-122.327915389,47.6145776,2020.0,12.0,1.0,22.0,0.0,"Melrose Apartments, Melrose Avenue, Central Business District, First Hill, Seattle, King County, Washington, 98191, United States",98191
2020-333348,12/01/2020 11:50:53 PM,ASSAULT OFFENSES,Aggravated Assault,13A,HIGHLAND PARK,-122.338927296,47.52119323,2020.0,12.0,1.0,22.0,36.0,"9052, 3rd Avenue Southwest, Seattle, King County, Washington, 98106, United States",98106
2020-333289,12/01/2020 09:55:32 PM,LARCENY-THEFT,Shoplifting,23C,ROOSEVELT/RAVENNA,-122.297313132,47.66334349,2020.0,12.0,1.0,21.0,3.0,"Bartell Drugs, 2700, Northeast University Village Street, University Village, University District, Seattle, King County, Washington, 98105, United States",98105
2020-333274,12/01/2020 09:41:01 PM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,HIGHLAND PARK,-122.336028113,47.52042665,2020.0,12.0,1.0,20.0,48.0,"9240, 2nd Avenue Southwest, Seattle, King County, Washington, 98106, United States",98106
2020-333263,12/01/2020 09:31:44 PM,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,WALLINGFORD,-122.332624828,47.66648792,2020.0,12.0,1.0,20.0,30.0,"2122, North 52nd Street, Meridian, Wallingford, Seattle, King County, Washington, 98103, United States",98103
2020-333190,12/01/2020 08:33:37 PM,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,CAPITOL HILL,-122.316863517,47.61584806,2020.0,12.0,1.0,18.0,30.0,"U:Don Fresh, 1640, 12th Avenue, Capitol Hill, Seattle, King County, Washington, 98122, United States",98122
2020-332968,12/01/2020 05:46:46 PM,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,CLAREMONT/RAINIER VISTA,-122.294396526,47.57343082,2020.0,12.0,1.0,14.0,42.0,"3320, Rainier Avenue South, Mount Baker, Seattle, King County, Washington, 98144, United States",98144
2020-333086,12/01/2020 05:40:14 PM,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,-122.329131555,47.61912473,2020.0,12.0,1.0,16.0,30.0,"El Corazón, 109, Eastlake Avenue East, South Lake Union, First Hill, Seattle, King County, Washington, 98109, United States",98109
2020-333015,12/01/2020 04:50:50 PM,LARCENY-THEFT,Shoplifting,23C,CHINATOWN/INTERNATIONAL DISTRICT,-122.32571125,47.59835286,2020.0,12.0,1.0,15.0,26.0,"Alice Hotel, South King Street, Little Saigon, International District/Chinatown, Seattle, King County, Washington, 98104, United States",98104
2020-332993,12/01/2020 03:33:35 PM,LARCENY-THEFT,Shoplifting,23C,DOWNTOWN COMMERCIAL,-122.335017876,47.61090902,2020.0,12.0,1.0,15.0,0.0,"520 Pike Tower, 520, Pike Street, Central Business District, First Hill, Seattle, King County, Washington, 98101, United States",98101
2020-332911,12/01/2020 01:58:10 PM,LARCENY-THEFT,All Other Larceny,23H,BITTERLAKE,-122.34506005,47.73076527,2020.0,12.0,1.0,13.0,23.0,"Hyundai of Seattle, 14005, Aurora Avenue North, Foy, Seattle, King County, Washington, 98133, United States",98133
2020-332875,12/01/2020 01:35:52 PM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,-122.330562149,47.62463779,2020.0,12.0,1.0,12.0,38.0,"624 Yale, 624, Yale Avenue North, South Lake Union, First Hill, Seattle, King County, Washington, 98109, United States",98109
2020-332651,12/01/2020 11:27:09 AM,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,MID BEACON HILL,-122.303470346,47.55670813,2020.0,12.0,1.0,8.0,20.0,"4942, Beacon Avenue South, South Seattle, Rainier Vista, Seattle, King County, Washington, 98108, United States",98108
2020-332744,12/01/2020 11:14:03 AM,ASSAULT OFFENSES,Aggravated Assault,13A,BELLTOWN,-122.352887455,47.61597109,2020.0,12.0,1.0,10.0,25.0,"AVA Belltown, 2800, Western Avenue, Uptown, Belltown, Seattle, King County, Washington, 98121, United States",98121
2020-332715,12/01/2020 10:55:48 AM,LARCENY-THEFT,All Other Larceny,23H,NORTHGATE,-122.324740472,47.71314661,2020.0,12.0,1.0,9.0,23.0,"11532, 4th Avenue Northeast, Northgate, Seattle, King County, Washington, 98125, United States",98125
2020-335079,12/03/2020 09:58:17 PM,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,ALASKA JUNCTION,-122.386856402,47.55841117,2020.0,12.0,3.0,19.0,54.0,"Sound View Apartments, 4815, California Avenue Southwest, Morgan Junction, West Seattle, Seattle, King County, Washington, 98116, United States",98116
2020-335141,12/03/2020 09:52:46 PM,ASSAULT OFFENSES,Aggravated Assault,13A,DOWNTOWN COMMERCIAL,-122.332597254,47.61329593,2020.0,12.0,3.0,21.0,29.0,"802, Pine Street, Central Business District, First Hill, Seattle, King County, Washington, 98101, United States",98101
2020-335029,12/03/2020 08:32:51 PM,ASSAULT OFFENSES,Intimidation,13C,LAKECITY,-122.293839487,47.73104069,2020.0,12.0,3.0,18.0,38.0,"The Array building 3, 14027, 32nd Avenue Northeast, Kenwood, Lake City, Seattle, King County, Washington, 98165, United States",98165
2020-335025,12/03/2020 08:30:58 PM,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,CENTRAL AREA/SQUIRE PARK,-122.308832162,47.61805834,2020.0,12.0,2.0,15.0,0.0,"1808, 18th Avenue, Capitol Hill, Seattle, King County, Washington, 98122, United States",98122
2020-334964,12/03/2020 07:15:02 PM,ASSAULT OFFENSES,Intimidation,13C,UNIVERSITY,-122.313034226,47.66749153,2020.0,12.0,3.0,17.0,13.0,"Devoe, 5234, University Way Northeast, University District, Seattle, King County, Washington, 98105, United States",98105
2020-334909,12/03/2020 06:04:48 PM,ASSAULT OFFENSES,Intimidation,13C,QUEEN ANNE,-122.352820632,47.62092644,2020.0,12.0,2.0,17.0,0.0,"Seattle Storm Way, Uptown, Belltown, Seattle, King County, Washington, 98121, United States",98121
2020-334925,12/03/2020 06:00:14 PM,ASSAULT OFFENSES,Intimidation,13C,QUEEN ANNE,-122.372088309,47.62943789,2020.0,12.0,3.0,16.0,16.0,"1121, Elliott Avenue West, Queen Anne, Seattle, King County, Washington, 98119, United States",98119
2020-334900,12/03/2020 05:51:29 PM,ASSAULT OFFENSES,Intimidation,13C,CAPITOL HILL,-122.325552288,47.61704061,2020.0,12.0,3.0,15.0,50.0,"Mercury Apartments, 1723, Summit Avenue, First Hill, Seattle, King County, Washington, 98122, United States",98122
2020-334884,12/03/2020 05:14:59 PM,ASSAULT OFFENSES,Simple Assault,13B,QUEEN ANNE,-122.358039823,47.62152983,2020.0,12.0,3.0,15.0,25.0,"Uptown Queen Anne, 315, 1st Avenue West, Uptown, Belltown, Seattle, King County, Washington, 98119, United States",98119
2020-334884,12/03/2020 05:14:59 PM,ASSAULT OFFENSES,Aggravated Assault,13A,QUEEN ANNE,-122.358039823,47.62152983,2020.0,12.0,3.0,15.0,25.0,"Uptown Queen Anne, 315, 1st Avenue West, Uptown, Belltown, Seattle, King County, Washington, 98119, United States",98119
2020-334863,12/03/2020 05:00:35 PM,LARCENY-THEFT,All Other Larceny,23H,FAUNTLEROY SW,-122.378128598,47.52018135,2020.0,12.0,3.0,15.0,13.0,"9233, 36th Avenue Southwest, Westwood, Seattle, King County, Washington, 98126, United States",98126
2020-334859,12/03/2020 05:00:24 PM,ASSAULT OFFENSES,Simple Assault,13B,DOWNTOWN COMMERCIAL,-122.340367245,47.61004628,2020.0,12.0,3.0,14.0,25.0,"News Lane, Pike Place Market Area, Belltown, Seattle, King County, Washington, 98101-2017, United States",98101-2017
2020-334843,12/03/2020 04:28:59 PM,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,FAUNTLEROY SW,-122.378824081,47.51928654,2020.0,12.0,3.0,9.0,35.0,"3610, Southwest Cambridge Street, Seattle, King County, Washington, 98126, United States",98126
2020-334809,12/03/2020 04:16:48 PM,ASSAULT OFFENSES,Aggravated Assault,13A,DOWNTOWN COMMERCIAL,-122.330510332,47.60188591,2020.0,12.0,3.0,14.0,10.0,"452, 3rd Avenue, West Edge, International District/Chinatown, Seattle, King County, Washington, 98121, United States",98121
2020-334774,12/03/2020 03:39:40 PM,LARCENY-THEFT,All Other Larceny,23H,BITTERLAKE,-122.350992882,47.72322284,2020.0,12.0,3.0,1.0,0.0,"Arbor Heights, 625, North 130th Street, Bitter Lake, Seattle, King County, Washington, 98133, United States",98133
2020-334757,12/03/2020 03:31:14 PM,ROBBERY,Robbery,120,DOWNTOWN COMMERCIAL,-122.338701504,47.61074295,2020.0,12.0,3.0,13.0,14.0,"Victrola Coffee Roasters, 300, Pine Street, Central Business District, Belltown, Seattle, King County, Washington, 98101, United States",98101
2020-334655,12/03/2020 02:24:41 PM,STOLEN PROPERTY OFFENSES,Stolen Property Offenses,280,SOUTH BEACON HILL,-122.284770824,47.52276058,2020.0,12.0,3.0,11.0,19.0,"9004, Beacon Avenue South, Seattle, King County, Washington, 98118, United States",98118
2020-334756,12/03/2020 01:46:37 PM,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,QUEEN ANNE,-122.368977431,47.63867778,2020.0,12.0,3.0,3.0,0.0,"2132, 9th Avenue West, Interbay, Queen Anne, Seattle, King County, Washington, 98119, United States",98119
2020-334675,12/03/2020 01:19:48 PM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,CHINATOWN/INTERNATIONAL DISTRICT,-122.315680055,47.59919954,2020.0,12.0,3.0,0.0,0.0,"S Jackson St & 12th Ave S, South Jackson Street, Little Saigon, Yesler Terrace, Seattle, King County, Washington, 98104, United States",98104
2020-334703,12/03/2020 01:18:16 PM,LARCENY-THEFT,Shoplifting,23C,QUEEN ANNE,-122.356933963,47.63777609,2020.0,12.0,3.0,12.0,22.0,"UPS, Queen Anne Avenue North, Queen Anne, Seattle, King County, Washington, 98109, United States",98109
2020-334668,12/03/2020 01:08:39 PM,LARCENY-THEFT,All Other Larceny,23H,NORTHGATE,-122.321412372,47.72054419,2020.0,12.0,2.0,14.0,0.0,"549, Northeast 126th Street, Northgate, Seattle, King County, Washington, 98125, United States",98125
2020-334670,12/03/2020 01:05:29 PM,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,FREMONT,-122.352102406,47.66287786,2020.0,12.0,3.0,11.0,41.0,"511, North 47th Street, Phinney Ridge, Seattle, King County, Washington, 98103, United States",98103
2020-334706,12/03/2020 01:04:24 PM,LARCENY-THEFT,All Other Larceny,23H,SANDPOINT,-122.275848844,47.6950805,2020.0,12.0,3.0,12.0,23.0,"9229, Sand Point Way Northeast, Lavilla, Alicia Park, Seattle, King County, Washington, 98115, United States",98115
2020-334660,12/03/2020 12:50:16 PM,ASSAULT OFFENSES,Aggravated Assault,13A,CHINATOWN/INTERNATIONAL DISTRICT,-122.323758538,47.59709154,2020.0,12.0,3.0,11.0,23.0,"612, 7th Avenue South, Little Saigon, International District/Chinatown, Seattle, King County, Washington, 98104, United States",98104
2020-334547,12/03/2020 12:12:34 PM,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,CHINATOWN/INTERNATIONAL DISTRICT,-122.322453466,47.59708944,2020.0,12.0,3.0,9.0,22.0,"611, 8th Avenue South, Little Saigon, International District/Chinatown, Seattle, King County, Washington, 98104, United States",98104
2020-334547,12/03/2020 12:12:34 PM,ASSAULT OFFENSES,Aggravated Assault,13A,CHINATOWN/INTERNATIONAL DISTRICT,-122.322453466,47.59708944,2020.0,12.0,3.0,9.0,22.0,"611, 8th Avenue South, Little Saigon, International District/Chinatown, Seattle, King County, Washington, 98104, United States",98104
2020-334570,12/03/2020 10:45:21 AM,ASSAULT OFFENSES,Simple Assault,13B,UNIVERSITY,-122.312600419,47.6597883,2020.0,12.0,3.0,9.0,44.0,"1405, Northeast 43rd Street, University District, Seattle, King County, Washington, 98105, United States",98105
2020-334580,12/03/2020 10:37:24 AM,LARCENY-THEFT,Theft From Motor Vehicle,23F,NORTH BEACON HILL,-122.31076886,47.58027855,2020.0,12.0,3.0,10.0,10.0,"1710, South Waite Street, Beacon Hill, Seattle, King County, Washington, 98144, United States",98144
2020-334485,12/03/2020 10:34:33 AM,LARCENY-THEFT,Shoplifting,23C,NORTHGATE,-122.344706409,47.70579857,2020.0,12.0,3.0,0.0,7.0,"Ocean Greens, 10526, Aurora Avenue North, Seattle, King County, Washington, 98133, United States",98133
2020-334552,12/03/2020 10:12:34 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,MOUNT BAKER,-122.301300475,47.58759608,2020.0,12.0,2.0,16.0,0.0,"1724, 24th Avenue South, Beacon Hill, Seattle, King County, Washington, 98144, United States",98144
2020-334471,12/03/2020 09:58:18 AM,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,QUEEN ANNE,-122.370262456,47.62903822,2020.0,12.0,3.0,8.0,12.0,"1160, Van Buren Avenue West, Queen Anne, Seattle, King County, Washington, 98119, United States",98119
2020-334474,12/03/2020 09:48:33 AM,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,ALKI,-122.386796464,47.59514819,2020.0,12.0,3.0,3.0,22.0,"Duwamish Head, Harbor Avenue Southwest, Seattle, King County, Washington, 98116, United States",98116
2020-334469,12/03/2020 07:57:38 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,WALLINGFORD,-122.325710189,47.65433329,2020.0,12.0,3.0,4.0,45.0,"Dunn Lumber, 3801, Latona Avenue Northeast, Wallingford, Seattle, King County, Washington, 98105, United States",98105
2020-334435,12/03/2020 07:21:08 AM,ASSAULT OFFENSES,Intimidation,13C,FIRST HILL,-122.313519652,47.60168757,2020.0,12.0,3.0,8.0,10.0,"Yesler Place, East Yesler Way, Little Saigon, Central District, Seattle, King County, Washington, 98122, United States",98122
2020-334421,12/03/2020 06:53:19 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,BITTERLAKE,-122.355533886,47.7184821,2020.0,12.0,3.0,5.0,46.0,"12221, Greenwood Avenue North, Broadview, Seattle, King County, Washington, 98133, United States",98133
2020-334407,12/03/2020 06:19:38 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,BALLARD NORTH,-122.39156657,47.69587029,2020.0,12.0,3.0,5.0,8.0,"9110, 27th Avenue Northwest, North Beach, Seattle, King County, Washington, 98117, United States",98117
2020-334405,12/03/2020 05:48:28 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SODO,-122.324725608,47.56592891,2020.0,12.0,2.0,21.0,0.0,"676, South Industrial Way, Beacon Hill, Seattle, King County, Washington, 98108, United States",98108
2020-334385,12/03/2020 05:15:46 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SOUTH DELRIDGE,-122.355829482,47.51810155,2020.0,12.0,3.0,4.0,5.0,"Center Tool Rentals, 9444, Delridge Way Southwest, Highland Park, Seattle, King County, Washington, 98106, United States",98106
2020-333634,12/03/2020 04:53:49 AM,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,RAINIER VIEW,-122.264723559,47.51258367,2020.0,12.0,1.0,16.0,0.0,"Kubota Garden, 9817, 55th Avenue South, Rainier Beach, Seattle, King County, Washington, 98118, United States",98118
2020-334394,12/03/2020 04:50:07 AM,LARCENY-THEFT,Shoplifting,23C,HIGHLAND PARK,-122.36101491,47.53855079,2020.0,12.0,3.0,1.0,25.0,"Delridge Way SW & SW Myrtle St, Delridge Way Southwest, Seattle, King County, Washington, 98106, United States",98106
2020-334329,12/03/2020 03:02:50 AM,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,CAPITOL HILL,-122.324504955,47.61774596,2020.0,12.0,3.0,0.0,50.0,"514, East Howell Street, Capitol Hill, Seattle, King County, Washington, 98122, United States",98122
2020-334317,12/03/2020 02:41:29 AM,ASSAULT OFFENSES,Simple Assault,13B,NORTH DELRIDGE,-122.365444118,47.5672585,2020.0,12.0,3.0,0.0,19.0,"Youngstown Flats, 4040, 26th Avenue Southwest, Youngstown, Delridge, Seattle, King County, Washington, 98126, United States",98126
2020-334346,12/03/2020 02:40:02 AM,ASSAULT OFFENSES,Simple Assault,13B,MOUNT BAKER,-122.299022274,47.58435803,2020.0,12.0,3.0,1.0,54.0,"2606, South Hill Street, Mount Baker, Seattle, King County, Washington, 98144, United States",98144
2020-334322,12/03/2020 02:17:10 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,GEORGETOWN,-122.328955387,47.55413678,2020.0,12.0,3.0,0.0,33.0,"416, South Brandon Street, Georgetown, Seattle, King County, Washington, 98108, United States",98108
2020-334326,12/03/2020 01:24:21 AM,ASSAULT OFFENSES,Intimidation,13C,CENTRAL AREA/SQUIRE PARK,-122.312194296,47.60803977,2020.0,12.0,3.0,0.0,43.0,"Swedish Medical Center Cherry Hill Campus, 500, 17th Avenue, Little Saigon, Central District, Seattle, King County, Washington, 98122, United States",98122
2020-334326,12/03/2020 01:24:21 AM,LARCENY-THEFT,Theft From Building,23D,CENTRAL AREA/SQUIRE PARK,-122.312194296,47.60803977,2020.0,12.0,3.0,0.0,43.0,"Swedish Medical Center Cherry Hill Campus, 500, 17th Avenue, Little Saigon, Central District, Seattle, King County, Washington, 98122, United States",98122
